id,Title,ReleaseDate,Rating,NumberofReviews,Plays,year,game_type,score
1085,Battlefield 1,"Oct 21, 2016",3.4,263169.0,51.84,2016,new,Great
1086,Kirby’s Return to Dream Land Deluxe,"Feb 24, 2023",4.2,52900.0,166464.0,2023,new,Amazing
1087,Persona 2: Eternal Punishment,"Jun 29, 2000",4.1,352836.0,2.56,2000,retro,Amazing
1088,Star Wars Battlefront II,"Nov 17, 2017",3.1,285156.0,60.84,2017,new,Great
1089,Super Paper Mario,"Apr 09, 2007",3.8,473344.0,38.44,2007,new,Great
1090,The Great Ace Attorney 2: Resolve,"Aug 03, 2017",4.6,148996.0,1.21,2017,new,Amazing
1091,Bugsnax,"Nov 12, 2020",3.6,390625.0,7.29,2020,new,Great
1092,Star Wars: Battlefront II,"Oct 31, 2005",4.0,422500.0,59.29,2005,new,Great
1093,Pokémon Shield,"Nov 15, 2019",2.9,300304.0,39.69,2019,new,Good
1094,Super Castlevania IV,"Oct 31, 1991",3.7,393129.0,13.69,1991,retro,Great
1095,Brothers: A Tale of Two Sons,"Aug 07, 2013",3.5,261121.0,16.0,2013,new,Great
1096,Call of Duty: Modern Warfare,"Oct 25, 2019",3.4,275625.0,26.01,2019,new,Great
1097,GoldenEye 007,"Aug 23, 1997",3.6,372100.0,20.25,1997,retro,Great
1098,"WarioWare, Inc.: Mega Microgames!","Mar 21, 2003",3.9,273529.0,12.25,2003,new,Great
1099,Evil West,"Nov 22, 2022",3.3,21904.0,112225.0,2022,new,Great
1100,Gravity Rush 2,"Jan 18, 2017",3.9,266256.0,4.41,2017,new,Great
1101,Metroid Prime 2: Echoes,"Nov 15, 2004",4.0,367236.0,9.0,2004,new,Great
1102,The Forest,"Apr 30, 2018",3.2,85849.0,20.25,2018,new,Great
1103,CrossCode,"Sep 20, 2018",4.0,123201.0,2.25,2018,new,Great
1104,Sekiro: Shadows Die Twice - GOTY Edition,"Oct 28, 2020",4.6,29929.0,1.96,2020,new,Amazing
1105,Saints Row IV,"Aug 19, 2013",3.1,148996.0,51.84,2013,new,Great
1106,Fallout 2,"Oct 29, 1998",4.1,283024.0,5.76,1998,retro,Amazing
1107,Chrono Cross,"Nov 18, 1999",4.0,306916.0,2.89,1999,retro,Great
